,customer,product,Predicted_Review,review_score
0,C1,P1,4.1622619152783615,4.0
1,C1,P20012,4.800592842782241,5.0
2,C1,P3424,4.767873412643046,5.0
3,C10181,P13323,4.5729710127272725,5.0
4,C10181,P2113,4.014989848195212,4.0
5,C10555,P20269,1.7595623459962675,1.0
6,C10759,P22501,4.816665111122897,5.0
7,C10759,P5701,4.819471958198028,5.0
8,C10775,P24803,4.868757311523787,5.0
9,C10775,P5706,4.72712463332504,5.0
10,C10941,P19522,4.310793465141191,5.0
11,C10941,P4938,4.337992220881665,4.0
12,C10949,P21283,4.873586770231715,5.0
13,C10949,P4608,4.94339406883455,5.0
14,C10949,P5765,4.5990619995173905,5.0
15,C11203,P14085,4.432675753806088,5.0
16,C11203,P5861,4.162152587988208,4.0
17,C11252,P4423,4.726215408732896,5.0
18,C11252,P4918,4.708333627959533,5.0
19,C11447,P14412,4.546220447650732,5.0
20,C11447,P5951,4.110157004144168,4.0
21,C11447,P5952,4.1200148327511465,4.0
22,C11465,P19977,4.156689082176018,4.0
23,C11465,P25674,3.995655186065087,4.0
24,C11849,P18849,4.72839794216985,5.0
25,C11849,P2986,4.295956169216531,4.0
26,C11894,P13387,4.665907264685543,5.0
27,C11894,P753,4.013974412916289,4.0
28,C11922,P3365,4.1413497278486595,5.0
29,C11922,P6140,3.5353872506684025,3.0
30,C11974,P21834,4.8331599280848465,5.0
31,C11974,P4656,4.7031482108064715,5.0
32,C12192,P21859,1.9364573695688627,1.0
33,C12192,P21860,1.71135458238151,1.0
34,C12192,P348,3.441035441172265,4.0
35,C12257,P2138,4.416429427927311,5.0
36,C12257,P5931,4.098547164454367,4.0
37,C12346,P18629,3.2397995863015137,1.0
38,C12346,P6311,4.129885665011244,5.0
39,C12712,P6423,4.16738136888922,4.0
40,C12712,P9064,4.452916088812284,5.0
41,C12731,P6436,4.835765684064102,5.0
42,C12731,P7832,4.723440573745827,5.0
43,C12776,P462,3.6168232445340545,4.0
44,C12776,P7855,2.528177380112986,1.0
45,C12842,P26292,4.881178216689273,5.0
46,C12842,P3572,4.597555414843105,5.0
47,C129,P121,4.819603811802066,5.0
48,C129,P26646,4.802455823982636,5.0
49,C12936,P29598,4.360044869008695,5.0
50,C12936,P2996,4.524734916968741,4.0
51,C12956,P21674,4.280896071925988,4.0
52,C12956,P6511,4.47058286321742,5.0
53,C12993,P30451,4.792415835836632,5.0
54,C12993,P3787,3.850444746882571,4.0
55,C12998,P23938,4.760491834215909,5.0
56,C12998,P6521,4.102119849812184,4.0
57,C13020,P11179,4.4030961317309405,5.0
58,C13020,P1953,4.800589047794653,5.0
59,C13045,P25691,4.812732392842944,5.0
60,C13045,P6042,4.7947356949621,5.0
61,C1326,P195,3.11420211608097,3.0
62,C1326,P26785,1.6705595069540506,1.0
63,C13320,P1161,4.655939770848459,5.0
64,C13320,P8078,4.789034940271478,5.0
65,C13337,P29606,1.7897361393012206,1.0
66,C13337,P5865,4.118745800124205,5.0
67,C13400,P6512,2.0774938447577114,1.0
68,C13400,P6647,3.737755944800336,4.0
69,C13604,P1560,4.843099048194242,5.0
70,C13604,P4602,4.595632764668082,5.0
71,C13610,P20525,3.7866553395389144,4.0
72,C13610,P2279,1.6702854792992725,1.0
73,C1368,P1044,4.866207886981169,5.0
74,C1368,P21345,4.833904813483192,5.0
75,C13700,P17192,4.745702072321535,5.0
76,C13700,P6728,4.851249833942408,5.0
77,C13708,P11642,4.33651897078389,4.0
78,C13708,P6730,4.680118167662037,5.0
79,C13871,P1992,3.7426499140297413,3.0
80,C13871,P5819,4.39846903562692,5.0
81,C14032,P22843,4.737341883474147,5.0
82,C14032,P4352,4.676577410907097,5.0
83,C14189,P18629,4.045713926099043,4.0
84,C14189,P2667,4.1690216661304405,4.0
85,C14510,P1288,4.763620374224811,5.0
86,C14510,P3130,4.693499597391728,5.0
87,C14533,P1582,4.700651404224045,5.0
88,C14533,P7018,4.699144113133332,5.0
89,C14666,P23313,4.8435781496756425,5.0
90,C14666,P4361,4.638129951883633,5.0
91,C14679,P5601,4.713426250552195,5.0
92,C14815,P22422,4.794039253158131,5.0
93,C14815,P7131,4.820045620784503,5.0
94,C14977,P27364,4.806756032272653,5.0
95,C14977,P7192,4.804000103830029,5.0
96,C15055,P13776,3.296387903270054,3.0
97,C15055,P7219,4.669155529812349,5.0
98,C15269,P31478,4.790574973942832,5.0
99,C15269,P7304,4.891630806459113,5.0
100,C15297,P11,3.9818252997897217,4.0
101,C15297,P3601,4.119403944598885,4.0
102,C15336,P4284,3.685601736641131,5.0
103,C15336,P5724,1.927273754640106,1.0
104,C15336,P7115,1.6354088721282198,1.0
105,C15450,P29891,4.83558752580072,5.0
106,C15450,P7359,4.748235716042324,5.0
107,C15463,P22009,2.915148832241269,3.0
108,C15463,P7099,1.7678190156708473,1.0
109,C15463,P7364,1.648604105672134,1.0
110,C15469,P26843,4.1059106464814334,4.0
111,C15469,P5433,3.53485816299066,3.0
112,C15484,P17151,4.479537608399766,5.0
113,C15484,P2446,4.681749745952833,5.0
114,C15484,P7084,4.800306884723316,5.0
115,C15801,P19447,4.7989485279286095,5.0
116,C15801,P4888,4.7037327758117815,5.0
117,C15895,P19087,4.858548248224894,5.0
118,C15895,P7512,4.707415933209096,5.0
119,C15924,P11509,4.109554118706832,4.0
120,C15924,P7524,4.01315806320013,4.0
121,C16209,P6847,3.4771726298520913,3.0
122,C16209,P7623,4.635334035962287,5.0
123,C16235,P30763,4.824176535224688,5.0
124,C16235,P5226,4.644006112961269,5.0
125,C16249,P2097,4.434298416534018,5.0
126,C16249,P28298,4.2578146039822204,4.0
127,C1629,P1214,4.873457001090152,5.0
128,C1629,P24953,4.747285764409187,5.0
129,C16467,P13898,4.931891934455404,5.0
130,C16467,P5086,4.445540912373573,5.0
131,C16522,P17569,4.781974320842649,5.0
132,C16522,P7755,4.799669107873095,5.0
133,C16552,P18562,4.549141897860269,5.0
134,C16552,P7767,4.868550702287862,5.0
135,C16614,P21579,4.819716642501569,5.0
136,C16614,P2522,4.686779780011503,5.0
137,C16704,P10826,4.582278100358821,5.0
138,C16704,P7534,4.727428940258305,5.0
139,C1694,P1257,4.70889030410931,5.0
140,C1694,P20690,4.591776573395939,5.0
141,C16981,P3564,4.714016861919552,5.0
142,C16981,P6159,4.81314228869142,5.0
143,C17035,P1968,4.632671994163355,5.0
144,C17035,P3784,4.6693299205027925,5.0
145,C17035,P5433,4.736342104962641,5.0
146,C17035,P7967,4.952813434733221,5.0
147,C17060,P25637,4.870891650417952,5.0
148,C17060,P6071,4.611033730490869,5.0
149,C17178,P17477,4.687458712687151,5.0
150,C17178,P8023,4.845475675398999,5.0
151,C17412,P13807,4.506715603377023,5.0
152,C17412,P22657,4.861858977141625,5.0
153,C17412,P5346,4.894869395127876,5.0
154,C17420,P31328,4.785731233132424,5.0
155,C17420,P6009,4.879938968970189,5.0
156,C17599,P7534,4.614912153460331,5.0
157,C17599,P8157,4.868843312266004,5.0
158,C17834,P15183,4.756626841159016,5.0
159,C17834,P2325,4.743875364024638,5.0
160,C17834,P4574,4.828677861065017,5.0
161,C17858,P29145,4.800901419982827,5.0
162,C17858,P4508,4.876677373116725,5.0
163,C18032,P24545,4.306233808495601,5.0
164,C18032,P7201,4.493136699772807,4.0
165,C18064,P29422,3.5007142494342034,3.0
166,C18064,P4548,4.653059763292971,5.0
167,C18124,P4284,4.521058379254305,5.0
168,C18124,P8096,4.886165962132947,5.0
169,C18137,P25018,4.672649755746029,5.0
170,C18137,P7724,4.620252146376168,5.0
171,C18489,P8497,3.7830897672997437,4.0
172,C18844,P1825,4.623284133988779,5.0
173,C18844,P19687,4.785273513019269,5.0
174,C18948,P8673,4.0671923577331475,4.0
175,C18972,P8681,4.824276564793255,5.0
176,C19450,P8867,4.818386395667725,5.0
177,C1960,P1428,4.6525415943678174,5.0
178,C1960,P28797,3.4010561847254235,3.0
179,C19602,P26108,4.304797585591568,4.0
180,C19602,P8912,4.713845405648931,5.0
181,C19786,P15504,4.656259222198087,5.0
182,C19786,P8989,4.918162443221958,5.0
183,C198,P15613,2.9588336225413565,2.0
184,C198,P182,4.5477975230356735,5.0
185,C19932,P27721,4.7692374095491745,5.0
186,C19932,P9038,4.106480455433045,4.0
187,C20265,P19049,4.67854531129689,5.0
188,C20265,P9179,4.459300317926573,4.0
189,C20323,P13963,4.201412884129137,4.0
190,C20323,P9206,3.987538172865569,4.0
191,C20403,P15841,3.4433202904286304,3.0
192,C20403,P7526,3.911082499082115,4.0
193,C2080,P1095,4.687122881104891,5.0
194,C2080,P12767,4.743587593876601,5.0
195,C20837,P22079,4.761113421128618,5.0
196,C20837,P9410,4.767302308464106,5.0
197,C20851,P313,4.160519742504683,5.0
198,C20851,P6973,2.878436589657446,2.0
199,C21071,P19751,4.40819717141745,5.0
200,C21071,P9488,1.7349812308784638,1.0
201,C21112,P26379,4.73112983280059,5.0
202,C21112,P9505,4.103776496646301,4.0
203,C21157,P22781,4.644304019227294,5.0
204,C21157,P7513,4.620856025015063,5.0
205,C21181,P27511,2.4268807714658296,2.0
206,C21181,P6806,1.7250157946522202,1.0
207,C21440,P1662,4.281459719353236,4.0
208,C21440,P29583,4.608302553348261,5.0
209,C21493,P18693,4.851196319810925,5.0
210,C21493,P9643,4.829081533450082,5.0
211,C2151,P1378,3.326252486579877,1.0
212,C2151,P413,3.794909840207599,5.0
213,C21605,P24146,4.037869282056045,4.0
214,C21605,P5575,4.047100753557439,4.0
215,C21631,P28714,4.826130271414777,5.0
216,C21631,P3501,4.666469712513192,5.0
217,C21677,P28762,4.813019323902091,5.0
218,C21677,P9716,4.804007423182014,5.0
219,C21709,P12197,4.8364089703548405,5.0
220,C21709,P21821,4.7504711669566255,5.0
221,C21709,P7058,4.908296836203665,5.0
222,C21748,P2633,4.523614792585982,5.0
223,C21748,P8385,4.776558922393967,5.0
224,C21860,P26795,4.84014945211479,5.0
225,C21860,P26796,4.814281770399176,5.0
226,C21860,P9793,4.764454750440248,5.0
227,C21987,P5226,4.68864877287512,5.0
228,C21987,P8205,4.620370742978139,5.0
229,C21999,P6353,4.523057573137181,5.0
230,C21999,P7130,3.9238372977792424,4.0
231,C22061,P1918,4.266125333244229,5.0
232,C22061,P4285,4.020702855176529,3.0
233,C22218,P29716,4.8743659778865425,5.0
234,C22218,P6184,4.571796608987604,5.0
235,C22228,P2085,4.426359014617251,5.0
236,C22228,P5077,4.839865537502457,5.0
237,C22309,P26200,4.623340533940158,5.0
238,C22309,P8049,3.730867799423433,3.0
239,C22348,P23747,4.611499194309861,5.0
240,C22348,P9442,4.814673790782411,5.0
241,C22463,P18194,4.634404900899719,5.0
242,C22463,P275,4.543567174867152,5.0
243,C22469,P10022,4.845464285217395,5.0
244,C22469,P12285,4.639182737581246,5.0
245,C22571,P10056,1.7339353464823681,1.0
246,C22571,P25221,4.653667033540187,5.0
247,C22772,P13983,4.098208617441607,4.0
248,C22772,P3604,4.081958748593648,4.0
249,C23015,P28040,4.596886132164944,5.0
250,C23015,P5638,4.884915880023817,5.0
251,C23069,P10023,4.506724532806598,5.0
252,C23069,P27425,3.6392099726272185,3.0
253,C23080,P25391,4.116429104019245,4.0
254,C23080,P3992,4.6377446502452715,5.0
255,C23083,P13078,3.9813192569870073,5.0
256,C23083,P2754,3.066720723162039,1.0
257,C23103,P10260,4.7924933891849335,5.0
258,C23103,P22787,4.857637754568621,5.0
259,C23307,P10330,4.8427214698273575,5.0
260,C23307,P1436,4.630035041251378,5.0
261,C23556,P22746,4.543327339793354,5.0
262,C23556,P4051,4.727998955292086,5.0
263,C23618,P10459,4.808769356501313,5.0
264,C23618,P30547,4.82031534545486,5.0
265,C23670,P10478,3.4919954561019426,3.0
266,C23670,P10479,3.4473045441969994,3.0
267,C23670,P11349,4.447931601395807,5.0
268,C23670,P25307,4.6315443649571435,5.0
269,C23801,P13846,4.805125009316911,5.0
270,C23801,P9307,4.668049090754581,5.0
271,C23899,P10557,4.803468366401695,5.0
272,C23899,P27885,4.850164511581373,5.0
273,C23940,P10451,3.8476063760577515,3.0
274,C23940,P4169,3.3375474498495215,3.0
275,C23940,P6936,4.292266805608242,5.0
276,C23952,P7321,4.843232893865375,5.0
277,C23952,P7351,4.678505736290435,5.0
278,C24043,P4252,4.962972578806514,5.0
279,C24043,P6555,4.450800853999742,5.0
280,C24106,P10643,4.755926870218691,5.0
281,C24106,P7709,3.896777105341462,4.0
282,C24164,P12188,4.42194891562088,5.0
283,C24164,P9870,4.179887040519534,4.0
284,C24211,P10687,4.555779429431281,5.0
285,C24211,P24280,4.942848303743188,5.0
286,C24440,P10764,4.812286177992615,5.0
287,C24440,P22601,4.825743813417767,5.0
288,C24492,P10779,4.880259088769838,5.0
289,C24492,P25176,4.715644359473258,5.0
290,C2458,P1722,4.6063783083817045,5.0
291,C2458,P24227,3.450661034349755,3.0
292,C24788,P10893,2.6384696691736376,2.0
293,C24788,P27001,4.593340513396861,5.0
294,C25120,P6710,1.9937443441238742,1.0
295,C25120,P7618,4.322155990105749,5.0
296,C25135,P24971,2.1779036829380494,1.0
297,C25135,P8433,3.9284995885412624,5.0
298,C25187,P11017,4.216037210435152,4.0
299,C25187,P16394,4.470994885142717,5.0
300,C25411,P11008,4.670805485866259,5.0
301,C25411,P3365,4.528384692003315,5.0
302,C25485,P21292,4.817167278722834,5.0
303,C25485,P21293,4.798838290839585,5.0
304,C25485,P5360,4.850578378458548,5.0
305,C25798,P24567,4.055404985358121,4.0
306,C25798,P9955,3.9736552241670786,4.0
307,C26001,P11321,3.431864754036271,3.0
308,C26001,P18128,4.368802189980681,5.0
309,C26034,P4361,4.674200627446948,5.0
310,C26034,P5896,4.695314018741962,5.0
311,C26076,P5279,4.674936233162967,5.0
312,C26076,P6148,4.754377863890367,5.0
313,C26138,P22230,3.2247494646095896,3.0
314,C26138,P7175,3.54823190886189,3.0
315,C26209,P26099,4.803198659961607,5.0
316,C26209,P4946,4.810254777353524,5.0
317,C26300,P4493,4.587249062943524,5.0
318,C26300,P5551,4.097477820532537,4.0
319,C26445,P11483,4.80889208893774,5.0
320,C26445,P28497,4.829427365308327,5.0
321,C26555,P7807,4.550252946947927,5.0
322,C26555,P8456,4.27811357587001,4.0
323,C26607,P11536,4.881659163001731,5.0
324,C26607,P17609,4.439815822379486,5.0
325,C26684,P23914,4.692096634785333,5.0
326,C26684,P7150,4.710672301394298,5.0
327,C26704,P11573,3.846704450470217,4.0
328,C26704,P27316,3.847084173135177,4.0
329,C26778,P21917,4.806569573130052,5.0
330,C26778,P9780,4.863745621944903,5.0
331,C26808,P2046,4.162793210170147,4.0
332,C26808,P31676,4.710722349566966,5.0
333,C26901,P11645,4.798818919913052,5.0
334,C26988,P4014,4.751143786189521,5.0
